# NEA PSCompPars snapshot, regenerated 2026-05-13 00:30 UTC
# Source: NASA Exoplanet Archive Composite Parameters (DOI: 10.26133/NEA13)
# Count: 6286 planets
# Columns: pl_name | hostname | st_teff | st_logg | st_met (tab-separated)
# Used by sco-ldc as a fallback when the live NEA fetch fails.
Gl 725 A b	Gl 725 A	3433.0	4.87	-0.19
Gliese 12 b	Gliese 12	3328.0	5.25	-0.24
HAT-P-1 b	HAT-P-1	5980.0	4.359	0.13
HAT-P-11 b	HAT-P-11	4653.0	4.663	0.31
HAT-P-11 c	HAT-P-11	4653.0	4.663	0.31
HAT-P-12 b	HAT-P-12	4650.0	4.61	-0.29
HAT-P-13 b	HAT-P-13	5653.0	4.07	0.46
HAT-P-13 c	HAT-P-13	5653.0	4.07	0.46
HAT-P-14 b	HAT-P-14	6600.0	4.25	0.11
HAT-P-15 b	HAT-P-15	5568.0	4.38	0.22
HAT-P-16 b	HAT-P-16	6140.0	4.396	0.17
HAT-P-17 b	HAT-P-17	5246.0	4.53	0.0
HAT-P-17 c	HAT-P-17	5336.96	4.55466	0.0512
HAT-P-18 b	HAT-P-18	4803.0	4.57	0.1
HAT-P-19 b	HAT-P-19	4962.0	4.5687	0.166
HAT-P-2 b	HAT-P-2	6380.0	4.16	0.18
HAT-P-2 c	HAT-P-2	6412.0	4.16	0.12
HAT-P-20 b	HAT-P-20	4595.0	4.63	0.35
HAT-P-21 b	HAT-P-21	5588.0	4.33	0.01
HAT-P-22 b	HAT-P-22	5302.0	4.36	0.24
HAT-P-23 b	HAT-P-23	5905.0	4.33	0.15
HAT-P-24 b	HAT-P-24	6373.0	4.27	-0.16
HAT-P-25 b	HAT-P-25	5519.0	4.516	0.294
HAT-P-26 b	HAT-P-26	5079.0	4.56	-0.04
HAT-P-27 b	HAT-P-27	5316.0	4.52626	0.3
HAT-P-28 b	HAT-P-28	5680.0	4.36	0.12
HAT-P-29 b	HAT-P-29	6087.0	4.34	0.21
HAT-P-3 b	HAT-P-3	5185.0	4.56	0.27
HAT-P-30 b	HAT-P-30	6304.0	4.36	0.13
HAT-P-31 b	HAT-P-31	6065.0	4.26	0.15
HAT-P-32 b	HAT-P-32	6001.0	4.22	-0.16
HAT-P-33 b	HAT-P-33	6446.0	4.15	0.05
HAT-P-34 b	HAT-P-34	6442.0	4.21	0.22
HAT-P-35 b	HAT-P-35	6096.0	4.21	0.11
HAT-P-36 b	HAT-P-36	5620.0	4.416	0.25
HAT-P-37 b	HAT-P-37	5500.0	4.52	0.03
HAT-P-38 b	HAT-P-38	5330.0	4.45	0.06
HAT-P-39 b	HAT-P-39	6430.0	4.16	0.19
HAT-P-4 b	HAT-P-4	5860.0	4.127	0.24
HAT-P-40 b	HAT-P-40	6080.0	3.93	0.22
HAT-P-41 b	HAT-P-41	6390.0	4.14	0.21
HAT-P-42 b	HAT-P-42	5743.0	4.14	0.27
HAT-P-43 b	HAT-P-43	5693.0	4.38	0.2
HAT-P-44 b	HAT-P-44	5295.0	4.46	0.33
HAT-P-44 c	HAT-P-44	5295.0	4.46	0.33
HAT-P-45 b	HAT-P-45	6330.0	4.3	0.07
HAT-P-46 b	HAT-P-46	6120.0	4.25	0.3
HAT-P-49 b	HAT-P-49	6820.0	4.1	0.07
HAT-P-5 b	HAT-P-5	5960.0	4.37	0.24
HAT-P-50 b	HAT-P-50	6280.0	4.072	-0.18
HAT-P-51 b	HAT-P-51	5453.0	4.4256	0.302
HAT-P-52 b	HAT-P-52	5131.0	4.483	0.28
HAT-P-53 b	HAT-P-53	5956.0	4.31	0.0
HAT-P-54 b	HAT-P-54	4390.0	4.667	-0.127
HAT-P-55 b	HAT-P-55	5804.0	4.363	0.003
HAT-P-56 b	HAT-P-56	6566.0	3.39	0.0
HAT-P-57 b	HAT-P-57	6330.0	4.25	-0.25
HAT-P-58 b	HAT-P-58	6078.0	4.082	-0.224
HAT-P-59 b	HAT-P-59	5678.0	4.356	0.217
