 log g Teff  log Z Vel   g(CBBED)
 log g Teff  log Z Vel   h(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 4.00  7000. -5.0  2.0   0.6067
 4.00  7000. -5.0  2.0   0.5291
 4.00  7000. -5.0  2.0   0.0035
 4.50  7000. -5.0  2.0   0.6052
 4.50  7000. -5.0  2.0   0.5319
 4.50  7000. -5.0  2.0   0.0036
 5.00  7000. -5.0  2.0   0.6064
 5.00  7000. -5.0  2.0   0.5259
 5.00  7000. -5.0  2.0   0.0038
 1.00  7250. -5.0  2.0   0.6275
 1.00  7250. -5.0  2.0   0.6247
 1.00  7250. -5.0  2.0   0.0004
 1.50  7250. -5.0  2.0   0.6057
 1.50  7250. -5.0  2.0   0.6490
 1.50  7250. -5.0  2.0   0.0004
 2.00  7250. -5.0  2.0   0.5885
 2.00  7250. -5.0  2.0   0.6729
 2.00  7250. -5.0  2.0   0.0005
 2.50  7250. -5.0  2.0   0.5769
 2.50  7250. -5.0  2.0   0.6940
 2.50  7250. -5.0  2.0   0.0009
 3.00  7250. -5.0  2.0   0.5670
 3.00  7250. -5.0  2.0   0.7109
 3.00  7250. -5.0  2.0   0.0010
 3.50  7250. -5.0  2.0   0.6065
 3.50  7250. -5.0  2.0   0.5109
 3.50  7250. -5.0  2.0   0.0029
 4.00  7250. -5.0  2.0   0.6048
 4.00  7250. -5.0  2.0   0.5134
 4.00  7250. -5.0  2.0   0.0034
 4.50  7250. -5.0  2.0   0.6018
 4.50  7250. -5.0  2.0   0.5211
 4.50  7250. -5.0  2.0   0.0036
 5.00  7250. -5.0  2.0   0.6013
 5.00  7250. -5.0  2.0   0.5201
 5.00  7250. -5.0  2.0   0.0038
 1.00  7500. -5.0  2.0   0.6379
 1.00  7500. -5.0  2.0   0.5830
 1.00  7500. -5.0  2.0   0.0004
 1.50  7500. -5.0  2.0   0.6158
 1.50  7500. -5.0  2.0   0.6017
 1.50  7500. -5.0  2.0   0.0004
 2.00  7500. -5.0  2.0   0.5946
 2.00  7500. -5.0  2.0   0.6287
 2.00  7500. -5.0  2.0   0.0005
 2.50  7500. -5.0  2.0   0.5794
 2.50  7500. -5.0  2.0   0.6538
 2.50  7500. -5.0  2.0   0.0007
