 log g Teff  log Z Vel   g(CBBED)
 log g Teff  log Z Vel   h(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 4.50 25000.  0.0  2.0   0.3024
 4.50 25000.  0.0  2.0   0.0003
 5.00 25000.  0.0  2.0   0.4196
 5.00 25000.  0.0  2.0   0.3258
 5.00 25000.  0.0  2.0   0.0002
 3.00 26000.  0.0  2.0   0.6990
 3.00 26000.  0.0  2.0   0.2900
 3.00 26000.  0.0  2.0   0.0000
 3.50 26000.  0.0  2.0   0.6298
 3.50 26000.  0.0  2.0   0.2475
 3.50 26000.  0.0  2.0   0.0003
 4.00 26000.  0.0  2.0   0.5366
 4.00 26000.  0.0  2.0   0.2610
 4.00 26000.  0.0  2.0   0.0003
 4.50 26000.  0.0  2.0   0.4685
 4.50 26000.  0.0  2.0   0.2885
 4.50 26000.  0.0  2.0   0.0003
 5.00 26000.  0.0  2.0   0.4284
 5.00 26000.  0.0  2.0   0.3118
 5.00 26000.  0.0  2.0   0.0002
 3.50 27000.  0.0  2.0   0.6402
 3.50 27000.  0.0  2.0   0.2470
 3.50 27000.  0.0  2.0   0.0002
 4.00 27000.  0.0  2.0   0.5453
 4.00 27000.  0.0  2.0   0.2557
 4.00 27000.  0.0  2.0   0.0003
 4.50 27000.  0.0  2.0   0.4751
 4.50 27000.  0.0  2.0   0.2795
 4.50 27000.  0.0  2.0   0.0003
 5.00 27000.  0.0  2.0   0.4341
 5.00 27000.  0.0  2.0   0.3012
 5.00 27000.  0.0  2.0   0.0002
 3.50 28000.  0.0  2.0   0.6531
 3.50 28000.  0.0  2.0   0.2450
 3.50 28000.  0.0  2.0   0.0001
 4.00 28000.  0.0  2.0   0.5530
 4.00 28000.  0.0  2.0   0.2525
 4.00 28000.  0.0  2.0   0.0003
 4.50 28000.  0.0  2.0   0.4798
 4.50 28000.  0.0  2.0   0.2737
 4.50 28000.  0.0  2.0   0.0003
 5.00 28000.  0.0  2.0   0.4369
 5.00 28000.  0.0  2.0   0.2939
 5.00 28000.  0.0  2.0   0.0002
 3.50 29000.  0.0  2.0   0.6714
 3.50 29000.  0.0  2.0   0.2388
 3.50 29000.  0.0  2.0   0.0001
 4.00 29000.  0.0  2.0   0.5623
 4.00 29000.  0.0  2.0   0.2484
 4.00 29000.  0.0  2.0   0.0003
 4.50 29000.  0.0  2.0   0.4834
 4.50 29000.  0.0  2.0   0.2698
 4.50 29000.  0.0  2.0   0.0002
 5.00 29000.  0.0  2.0   0.4373
 5.00 29000.  0.0  2.0   0.2894
 5.00 29000.  0.0  2.0   0.0002
 3.50 30000.  0.0  2.0   0.6989
 3.50 30000.  0.0  2.0   0.2281
 3.50 30000.  0.0  2.0   0.0000
 4.00 30000.  0.0  2.0   0.5724
 4.00 30000.  0.0  2.0   0.2427
 4.00 30000.  0.0  2.0   0.0002
 4.50 30000.  0.0  2.0   0.4865
 4.50 30000.  0.0  2.0   0.2662
 4.50 30000.  0.0  2.0   0.0002
 5.00 30000.  0.0  2.0   0.4356
 5.00 30000.  0.0  2.0   0.2872
 5.00 30000.  0.0  2.0   0.0002
 3.50 31000.  0.0  2.0   0.7387
 3.50 31000.  0.0  2.0   0.2137
 3.50 31000.  0.0  2.0   0.0000
 4.00 31000.  0.0  2.0   0.5876
 4.00 31000.  0.0  2.0   0.2328
 4.00 31000.  0.0  2.0   0.0002
 4.50 31000.  0.0  2.0   0.4892
 4.50 31000.  0.0  2.0   0.2615
 4.50 31000.  0.0  2.0   0.0002
 5.00 31000.  0.0  2.0   0.4335
 5.00 31000.  0.0  2.0   0.2847
 5.00 31000.  0.0  2.0   0.0001
 4.00 32000.  0.0  2.0   0.6106
 4.00 32000.  0.0  2.0   0.2191
 4.00 32000.  0.0  2.0   0.0002
 4.50 32000.  0.0  2.0   0.4925
 4.50 32000.  0.0  2.0   0.2548
 4.50 32000.  0.0  2.0   0.0002
 5.00 32000.  0.0  2.0   0.4297
 5.00 32000.  0.0  2.0   0.2822
 5.00 32000.  0.0  2.0   0.0001
 4.00 33000.  0.0  2.0   0.6462
 4.00 33000.  0.0  2.0   0.2011
 4.00 33000.  0.0  2.0   0.0002
 4.50 33000.  0.0  2.0   0.4996
 4.50 33000.  0.0  2.0   0.2446
 4.50 33000.  0.0  2.0   0.0002
 5.00 33000.  0.0  2.0   0.4258
 5.00 33000.  0.0  2.0   0.2783
 5.00 33000.  0.0  2.0   0.0002
 4.00 34000.  0.0  2.0   0.7003
 4.00 34000.  0.0  2.0   0.1788
 4.00 34000.  0.0  2.0   0.0001
 4.50 34000.  0.0  2.0   0.5127
 4.50 34000.  0.0  2.0   0.2305
 4.50 34000.  0.0  2.0   0.0002
 5.00 34000.  0.0  2.0   0.4239
 5.00 34000.  0.0  2.0   0.2713
 5.00 34000.  0.0  2.0   0.0002
 4.00 35000.  0.0  2.0   0.7727
 4.00 35000.  0.0  2.0   0.1556
 4.00 35000.  0.0  2.0   0.0001
 4.50 35000.  0.0  2.0   0.5362
 4.50 35000.  0.0  2.0   0.2114
 4.50 35000.  0.0  2.0   0.0002
 5.00 35000.  0.0  2.0   0.4251
 5.00 35000.  0.0  2.0   0.2612
 5.00 35000.  0.0  2.0   0.0002
 4.00 36000.  0.0  2.0   0.8471
 4.00 36000.  0.0  2.0   0.1374
 4.00 36000.  0.0  2.0   0.0001
 4.50 36000.  0.0  2.0   0.5724
 4.50 36000.  0.0  2.0   0.1882
 4.50 36000.  0.0  2.0   0.0002
 5.00 36000.  0.0  2.0   0.4318
 5.00 36000.  0.0  2.0   0.2462
 5.00 36000.  0.0  2.0   0.0002
 4.00 37000.  0.0  2.0   0.9135
 4.00 37000.  0.0  2.0   0.1249
 4.00 37000.  0.0  2.0   0.0002
 4.50 37000.  0.0  2.0   0.6172
 4.50 37000.  0.0  2.0   0.1656
 4.50 37000.  0.0  2.0   0.0003
 5.00 37000.  0.0  2.0   0.4439
 5.00 37000.  0.0  2.0   0.2275
 5.00 37000.  0.0  2.0   0.0002
 4.00 38000.  0.0  2.0   0.9643
 4.00 38000.  0.0  2.0   0.1176
 4.00 38000.  0.0  2.0   0.0002
 4.50 38000.  0.0  2.0   0.6621
 4.50 38000.  0.0  2.0   0.1479
 4.50 38000.  0.0  2.0   0.0003
 5.00 38000.  0.0  2.0   0.4604
 5.00 38000.  0.0  2.0   0.2074
 5.00 38000.  0.0  2.0   0.0003
 4.00 39000.  0.0  2.0   1.0011
 4.00 39000.  0.0  2.0   0.1137
 4.00 39000.  0.0  2.0   0.0001
 4.50 39000.  0.0  2.0   0.7057
 4.50 39000.  0.0  2.0   0.1344
 4.50 39000.  0.0  2.0   0.0004
 5.00 39000.  0.0  2.0   0.4775
 5.00 39000.  0.0  2.0   0.1900
 5.00 39000.  0.0  2.0   0.0003
 4.50 40000.  0.0  2.0   0.7426
 4.50 40000.  0.0  2.0   0.1254
 4.50 40000.  0.0  2.0   0.0004
 5.00 40000.  0.0  2.0   0.4974
 5.00 40000.  0.0  2.0   0.1745
 5.00 40000.  0.0  2.0   0.0004
 4.50 41000.  0.0  2.0   0.7795
 4.50 41000.  0.0  2.0   0.1180
 4.50 41000.  0.0  2.0   0.0004
 5.00 41000.  0.0  2.0   0.5151
 5.00 41000.  0.0  2.0   0.1632
 5.00 41000.  0.0  2.0   0.0004
 4.50 42000.  0.0  2.0   0.8144
 4.50 42000.  0.0  2.0   0.1123
 4.50 42000.  0.0  2.0   0.0004
 5.00 42000.  0.0  2.0   0.5341
 5.00 42000.  0.0  2.0   0.1537
 5.00 42000.  0.0  2.0   0.0004
 4.50 43000.  0.0  2.0   0.8549
 4.50 43000.  0.0  2.0   0.1064
 4.50 43000.  0.0  2.0   0.0004
 5.00 43000.  0.0  2.0   0.5534
 5.00 43000.  0.0  2.0   0.1459
 5.00 43000.  0.0  2.0   0.0004
 4.50 44000.  0.0  2.0   0.9029
 4.50 44000.  0.0  2.0   0.1003
 4.50 44000.  0.0  2.0   0.0004
 5.00 44000.  0.0  2.0   0.5721
 5.00 44000.  0.0  2.0   0.1393
 5.00 44000.  0.0  2.0   0.0004
 4.50 45000.  0.0  2.0   0.9562
 4.50 45000.  0.0  2.0   0.0942
 4.50 45000.  0.0  2.0   0.0003
 5.00 45000.  0.0  2.0   0.5934
 5.00 45000.  0.0  2.0   0.1327
 5.00 45000.  0.0  2.0   0.0004
 4.50 46000.  0.0  2.0   1.0147
 4.50 46000.  0.0  2.0   0.0885
 4.50 46000.  0.0  2.0   0.0003
 5.00 46000.  0.0  2.0   0.6145
 5.00 46000.  0.0  2.0   0.1269
 5.00 46000.  0.0  2.0   0.0004
 4.50 47000.  0.0  2.0   1.0837
 4.50 47000.  0.0  2.0   0.0826
 4.50 47000.  0.0  2.0   0.0003
 5.00 47000.  0.0  2.0   0.6457
 5.00 47000.  0.0  2.0   0.1192
 5.00 47000.  0.0  2.0   0.0004
 4.50 48000.  0.0  2.0   1.1645
 4.50 48000.  0.0  2.0   0.0767
 4.50 48000.  0.0  2.0   0.0003
 5.00 48000.  0.0  2.0   0.6765
 5.00 48000.  0.0  2.0   0.1125
 5.00 48000.  0.0  2.0   0.0004
 4.50 49000.  0.0  2.0   1.2462
 4.50 49000.  0.0  2.0   0.0716
 4.50 49000.  0.0  2.0   0.0003
 5.00 49000.  0.0  2.0   0.7108
 5.00 49000.  0.0  2.0   0.1060
 5.00 49000.  0.0  2.0   0.0004
 5.00 50000.  0.0  2.0   0.7533
 5.00 50000.  0.0  2.0   0.0989
 5.00 50000.  0.0  2.0   0.0004
 0.00  3500.  0.0  4.0   0.7878
 0.00  3500.  0.0  4.0   0.9398
 0.00  3500.  0.0  4.0   0.0146
 0.50  3500.  0.0  4.0   0.7779
 0.50  3500.  0.0  4.0   0.9388
 0.50  3500.  0.0  4.0   0.0158
 1.00  3500.  0.0  4.0   0.7681
 1.00  3500.  0.0  4.0   0.9341
 1.00  3500.  0.0  4.0   0.0165
 1.50  3500.  0.0  4.0   0.7586
 1.50  3500.  0.0  4.0   0.9272
 1.50  3500.  0.0  4.0   0.0166
 2.00  3500.  0.0  4.0   0.7502
 2.00  3500.  0.0  4.0   0.9188
 2.00  3500.  0.0  4.0   0.0162
 2.50  3500.  0.0  4.0   0.7437
 2.50  3500.  0.0  4.0   0.9082
 2.50  3500.  0.0  4.0   0.0151
 3.00  3500.  0.0  4.0   0.7412
 3.00  3500.  0.0  4.0   0.8779
 3.00  3500.  0.0  4.0   0.0122
 3.50  3500.  0.0  4.0   0.7511
 3.50  3500.  0.0  4.0   0.7565
 3.50  3500.  0.0  4.0   0.0047
 4.00  3500.  0.0  4.0   0.7725
 4.00  3500.  0.0  4.0   0.6136
 4.00  3500.  0.0  4.0   0.0005
 4.50  3500.  0.0  4.0   0.7949
 4.50  3500.  0.0  4.0   0.5219
 4.50  3500.  0.0  4.0   0.0001
 5.00  3500.  0.0  4.0   0.8116
 5.00  3500.  0.0  4.0   0.4716
 5.00  3500.  0.0  4.0   0.0005
 0.00  3750.  0.0  4.0   0.7886
 0.00  3750.  0.0  4.0   0.8776
 0.00  3750.  0.0  4.0   0.0081
 0.50  3750.  0.0  4.0   0.7811
 0.50  3750.  0.0  4.0   0.8876
 0.50  3750.  0.0  4.0   0.0084
 1.00  3750.  0.0  4.0   0.7715
 1.00  3750.  0.0  4.0   0.8988
 1.00  3750.  0.0  4.0   0.0088
 1.50  3750.  0.0  4.0   0.7607
 1.50  3750.  0.0  4.0   0.9103
 1.50  3750.  0.0  4.0   0.0091
 2.00  3750.  0.0  4.0   0.7494
 2.00  3750.  0.0  4.0   0.9206
 2.00  3750.  0.0  4.0   0.0094
 2.50  3750.  0.0  4.0   0.7385
 2.50  3750.  0.0  4.0   0.9284
 2.50  3750.  0.0  4.0   0.0096
 3.00  3750.  0.0  4.0   0.7289
 3.00  3750.  0.0  4.0   0.9301
 3.00  3750.  0.0  4.0   0.0095
 3.50  3750.  0.0  4.0   0.7246
 3.50  3750.  0.0  4.0   0.8864
 3.50  3750.  0.0  4.0   0.0074
 4.00  3750.  0.0  4.0   0.7385
 4.00  3750.  0.0  4.0   0.7181
 4.00  3750.  0.0  4.0   0.0020
 4.50  3750.  0.0  4.0   0.7718
 4.50  3750.  0.0  4.0   0.5486
 4.50  3750.  0.0  4.0   0.0001
 5.00  3750.  0.0  4.0   0.8064
 5.00  3750.  0.0  4.0   0.4517
 5.00  3750.  0.0  4.0   0.0005
 0.00  4000.  0.0  4.0   0.7784
 0.00  4000.  0.0  4.0   0.8246
 0.00  4000.  0.0  4.0   0.0060
 0.50  4000.  0.0  4.0   0.7762
 0.50  4000.  0.0  4.0   0.8289
 0.50  4000.  0.0  4.0   0.0063
 1.00  4000.  0.0  4.0   0.7713
 1.00  4000.  0.0  4.0   0.8367
 1.00  4000.  0.0  4.0   0.0066
 1.50  4000.  0.0  4.0   0.7647
 1.50  4000.  0.0  4.0   0.8460
 1.50  4000.  0.0  4.0   0.0066
 2.00  4000.  0.0  4.0   0.7567
 2.00  4000.  0.0  4.0   0.8564
 2.00  4000.  0.0  4.0   0.0064
 2.50  4000.  0.0  4.0   0.7478
 2.50  4000.  0.0  4.0   0.8681
 2.50  4000.  0.0  4.0   0.0060
 3.00  4000.  0.0  4.0   0.7383
 3.00  4000.  0.0  4.0   0.8795
 3.00  4000.  0.0  4.0   0.0056
 3.50  4000.  0.0  4.0   0.7289
 3.50  4000.  0.0  4.0   0.8869
 3.50  4000.  0.0  4.0   0.0051
 4.00  4000.  0.0  4.0   0.7245
 4.00  4000.  0.0  4.0   0.8394
 4.00  4000.  0.0  4.0   0.0037
 4.50  4000.  0.0  4.0   0.7380
 4.50  4000.  0.0  4.0   0.6714
 4.50  4000.  0.0  4.0   0.0010
 5.00  4000.  0.0  4.0   0.7752
 5.00  4000.  0.0  4.0   0.5040
 5.00  4000.  0.0  4.0   0.0000
 0.00  4250.  0.0  4.0   0.7586
 0.00  4250.  0.0  4.0   0.7892
 0.00  4250.  0.0  4.0   0.0037
 0.50  4250.  0.0  4.0   0.7602
 0.50  4250.  0.0  4.0   0.7891
 0.50  4250.  0.0  4.0   0.0040
 1.00  4250.  0.0  4.0   0.7581
 1.00  4250.  0.0  4.0   0.7953
 1.00  4250.  0.0  4.0   0.0043
 1.50  4250.  0.0  4.0   0.7537
 1.50  4250.  0.0  4.0   0.8034
 1.50  4250.  0.0  4.0   0.0044
 2.00  4250.  0.0  4.0   0.7478
 2.00  4250.  0.0  4.0   0.8139
 2.00  4250.  0.0  4.0   0.0046
 2.50  4250.  0.0  4.0   0.7417
 2.50  4250.  0.0  4.0   0.8230
 2.50  4250.  0.0  4.0   0.0046
 3.00  4250.  0.0  4.0   0.7354
 3.00  4250.  0.0  4.0   0.8318
 3.00  4250.  0.0  4.0   0.0044
 3.50  4250.  0.0  4.0   0.7290
 3.50  4250.  0.0  4.0   0.8394
 3.50  4250.  0.0  4.0   0.0041
 4.00  4250.  0.0  4.0   0.7229
 4.00  4250.  0.0  4.0   0.8436
 4.00  4250.  0.0  4.0   0.0035
 4.50  4250.  0.0  4.0   0.7209
 4.50  4250.  0.0  4.0   0.8009
 4.50  4250.  0.0  4.0   0.0025
 5.00  4250.  0.0  4.0   0.7315
 5.00  4250.  0.0  4.0   0.6543
 5.00  4250.  0.0  4.0   0.0011
 0.00  4500.  0.0  4.0   0.7378
 0.00  4500.  0.0  4.0   0.7568
 0.00  4500.  0.0  4.0   0.0017
 0.50  4500.  0.0  4.0   0.7417
 0.50  4500.  0.0  4.0   0.7541
 0.50  4500.  0.0  4.0   0.0020
 1.00  4500.  0.0  4.0   0.7425
 1.00  4500.  0.0  4.0   0.7559
 1.00  4500.  0.0  4.0   0.0023
 1.50  4500.  0.0  4.0   0.7406
 1.50  4500.  0.0  4.0   0.7627
 1.50  4500.  0.0  4.0   0.0024
 2.00  4500.  0.0  4.0   0.7368
 2.00  4500.  0.0  4.0   0.7710
 2.00  4500.  0.0  4.0   0.0024
 2.50  4500.  0.0  4.0   0.7310
 2.50  4500.  0.0  4.0   0.7844
 2.50  4500.  0.0  4.0   0.0025
 3.00  4500.  0.0  4.0   0.7251
 3.00  4500.  0.0  4.0   0.7957
 3.00  4500.  0.0  4.0   0.0025
 3.50  4500.  0.0  4.0   0.7194
 3.50  4500.  0.0  4.0   0.8050
 3.50  4500.  0.0  4.0   0.0025
 4.00  4500.  0.0  4.0   0.7143
 4.00  4500.  0.0  4.0   0.8118
 4.00  4500.  0.0  4.0   0.0024
 4.50  4500.  0.0  4.0   0.7104
 4.50  4500.  0.0  4.0   0.8143
 4.50  4500.  0.0  4.0   0.0021
 5.00  4500.  0.0  4.0   0.7108
 5.00  4500.  0.0  4.0   0.7807
 5.00  4500.  0.0  4.0   0.0015
 0.00  4750.  0.0  4.0   0.7230
 0.00  4750.  0.0  4.0   0.7138
 0.00  4750.  0.0  4.0   0.0006
 0.50  4750.  0.0  4.0   0.7267
 0.50  4750.  0.0  4.0   0.7140
 0.50  4750.  0.0  4.0   0.0008
 1.00  4750.  0.0  4.0   0.7283
 1.00  4750.  0.0  4.0   0.7143
 1.00  4750.  0.0  4.0   0.0010
 1.50  4750.  0.0  4.0   0.7282
 1.50  4750.  0.0  4.0   0.7186
 1.50  4750.  0.0  4.0   0.0012
 2.00  4750.  0.0  4.0   0.7262
 2.00  4750.  0.0  4.0   0.7262
 2.00  4750.  0.0  4.0   0.0013
 2.50  4750.  0.0  4.0   0.7225
 2.50  4750.  0.0  4.0   0.7373
 2.50  4750.  0.0  4.0   0.0013
 3.00  4750.  0.0  4.0   0.7183
 3.00  4750.  0.0  4.0   0.7481
 3.00  4750.  0.0  4.0   0.0013
 3.50  4750.  0.0  4.0   0.7131
 3.50  4750.  0.0  4.0   0.7608
 3.50  4750.  0.0  4.0   0.0013
 4.00  4750.  0.0  4.0   0.7083
 4.00  4750.  0.0  4.0   0.7703
 4.00  4750.  0.0  4.0   0.0013
 4.50  4750.  0.0  4.0   0.7040
 4.50  4750.  0.0  4.0   0.7781
 4.50  4750.  0.0  4.0   0.0012
 5.00  4750.  0.0  4.0   0.7013
 5.00  4750.  0.0  4.0   0.7800
 5.00  4750.  0.0  4.0   0.0011
 0.00  5000.  0.0  4.0   0.7091
 0.00  5000.  0.0  4.0   0.6667
 0.00  5000.  0.0  4.0   0.0002
 0.50  5000.  0.0  4.0   0.7149
 0.50  5000.  0.0  4.0   0.6649
 0.50  5000.  0.0  4.0   0.0003
 1.00  5000.  0.0  4.0   0.7169
 1.00  5000.  0.0  4.0   0.6675
 1.00  5000.  0.0  4.0   0.0004
 1.50  5000.  0.0  4.0   0.7173
 1.50  5000.  0.0  4.0   0.6733
 1.50  5000.  0.0  4.0   0.0005
 2.00  5000.  0.0  4.0   0.7162
 2.00  5000.  0.0  4.0   0.6791
 2.00  5000.  0.0  4.0   0.0006
 2.50  5000.  0.0  4.0   0.7141
 2.50  5000.  0.0  4.0   0.6883
 2.50  5000.  0.0  4.0   0.0007
 3.00  5000.  0.0  4.0   0.7110
 3.00  5000.  0.0  4.0   0.6993
 3.00  5000.  0.0  4.0   0.0007
 3.50  5000.  0.0  4.0   0.7073
 3.50  5000.  0.0  4.0   0.7119
 3.50  5000.  0.0  4.0   0.0008
 4.00  5000.  0.0  4.0   0.7042
 4.00  5000.  0.0  4.0   0.7211
 4.00  5000.  0.0  4.0   0.0008
 4.50  5000.  0.0  4.0   0.7009
 4.50  5000.  0.0  4.0   0.7302
 4.50  5000.  0.0  4.0   0.0007
 5.00  5000.  0.0  4.0   0.6982
 5.00  5000.  0.0  4.0   0.7357
 5.00  5000.  0.0  4.0   0.0007
 0.00  5250.  0.0  4.0   0.6944
 0.00  5250.  0.0  4.0   0.6215
 0.00  5250.  0.0  4.0   0.0001
 0.50  5250.  0.0  4.0   0.7011
 0.50  5250.  0.0  4.0   0.6193
 0.50  5250.  0.0  4.0   0.0001
 1.00  5250.  0.0  4.0   0.7045
 1.00  5250.  0.0  4.0   0.6233
 1.00  5250.  0.0  4.0   0.0001
 1.50  5250.  0.0  4.0   0.7068
 1.50  5250.  0.0  4.0   0.6284
 1.50  5250.  0.0  4.0   0.0002
 2.00  5250.  0.0  4.0   0.7066
 2.00  5250.  0.0  4.0   0.6339
 2.00  5250.  0.0  4.0   0.0002
 2.50  5250.  0.0  4.0   0.7052
 2.50  5250.  0.0  4.0   0.6427
 2.50  5250.  0.0  4.0   0.0003
 3.00  5250.  0.0  4.0   0.7030
 3.00  5250.  0.0  4.0   0.6523
 3.00  5250.  0.0  4.0   0.0004
 3.50  5250.  0.0  4.0   0.7003
 3.50  5250.  0.0  4.0   0.6639
 3.50  5250.  0.0  4.0   0.0005
 4.00  5250.  0.0  4.0   0.6980
 4.00  5250.  0.0  4.0   0.6744
 4.00  5250.  0.0  4.0   0.0005
 4.50  5250.  0.0  4.0   0.6963
 4.50  5250.  0.0  4.0   0.6824
 4.50  5250.  0.0  4.0   0.0005
 5.00  5250.  0.0  4.0   0.6953
 5.00  5250.  0.0  4.0   0.6874
 5.00  5250.  0.0  4.0   0.0005
 0.00  5500.  0.0  4.0   0.6590
 0.00  5500.  0.0  4.0   0.6611
 0.00  5500.  0.0  4.0   0.0013
 0.50  5500.  0.0  4.0   0.6878
 0.50  5500.  0.0  4.0   0.5826
 0.50  5500.  0.0  4.0   0.0001
 1.00  5500.  0.0  4.0   0.6912
 1.00  5500.  0.0  4.0   0.5863
 1.00  5500.  0.0  4.0   0.0001
 1.50  5500.  0.0  4.0   0.6950
 1.50  5500.  0.0  4.0   0.5886
 1.50  5500.  0.0  4.0   0.0001
 2.00  5500.  0.0  4.0   0.6968
 2.00  5500.  0.0  4.0   0.5914
 2.00  5500.  0.0  4.0   0.0001
 2.50  5500.  0.0  4.0   0.6976
 2.50  5500.  0.0  4.0   0.5977
 2.50  5500.  0.0  4.0   0.0002
 3.00  5500.  0.0  4.0   0.6963
 3.00  5500.  0.0  4.0   0.6057
 3.00  5500.  0.0  4.0   0.0003
 3.50  5500.  0.0  4.0   0.6934
 3.50  5500.  0.0  4.0   0.6198
 3.50  5500.  0.0  4.0   0.0004
 4.00  5500.  0.0  4.0   0.6910
 4.00  5500.  0.0  4.0   0.6311
 4.00  5500.  0.0  4.0   0.0004
 4.50  5500.  0.0  4.0   0.6900
 4.50  5500.  0.0  4.0   0.6376
 4.50  5500.  0.0  4.0   0.0004
 5.00  5500.  0.0  4.0   0.6902
 5.00  5500.  0.0  4.0   0.6417
 5.00  5500.  0.0  4.0   0.0004
 0.00  5750.  0.0  4.0   0.6486
 0.00  5750.  0.0  4.0   0.6913
 0.00  5750.  0.0  4.0   0.0006
 0.50  5750.  0.0  4.0   0.6501
 0.50  5750.  0.0  4.0   0.6540
 0.50  5750.  0.0  4.0   0.0013
 1.00  5750.  0.0  4.0   0.6846
 1.00  5750.  0.0  4.0   0.5470
 1.00  5750.  0.0  4.0   0.0001
 1.50  5750.  0.0  4.0   0.6847
 1.50  5750.  0.0  4.0   0.5536
 1.50  5750.  0.0  4.0   0.0001
 2.00  5750.  0.0  4.0   0.6880
 2.00  5750.  0.0  4.0   0.5550
 2.00  5750.  0.0  4.0   0.0001
 2.50  5750.  0.0  4.0   0.6900
 2.50  5750.  0.0  4.0   0.5583
 2.50  5750.  0.0  4.0   0.0001
 3.00  5750.  0.0  4.0   0.6894
 3.00  5750.  0.0  4.0   0.5676
 3.00  5750.  0.0  4.0   0.0002
 3.50  5750.  0.0  4.0   0.6873
 3.50  5750.  0.0  4.0   0.5785
 3.50  5750.  0.0  4.0   0.0003
 4.00  5750.  0.0  4.0   0.6849
 4.00  5750.  0.0  4.0   0.5892
 4.00  5750.  0.0  4.0   0.0004
 4.50  5750.  0.0  4.0   0.6835
 4.50  5750.  0.0  4.0   0.5977
 4.50  5750.  0.0  4.0   0.0004
 5.00  5750.  0.0  4.0   0.6839
 5.00  5750.  0.0  4.0   0.6010
 5.00  5750.  0.0  4.0   0.0005
 0.00  6000.  0.0  4.0   0.6443
 0.00  6000.  0.0  4.0   0.6924
 0.00  6000.  0.0  4.0   0.0003
 0.50  6000.  0.0  4.0   0.6438
 0.50  6000.  0.0  4.0   0.6695
 0.50  6000.  0.0  4.0   0.0006
 1.00  6000.  0.0  4.0   0.6484
 1.00  6000.  0.0  4.0   0.6190
 1.00  6000.  0.0  4.0   0.0010
 1.50  6000.  0.0  4.0   0.6844
 1.50  6000.  0.0  4.0   0.5141
 1.50  6000.  0.0  4.0   0.0001
 2.00  6000.  0.0  4.0   0.6838
 2.00  6000.  0.0  4.0   0.5212
 2.00  6000.  0.0  4.0   0.0001
 2.50  6000.  0.0  4.0   0.6837
 2.50  6000.  0.0  4.0   0.5275
 2.50  6000.  0.0  4.0   0.0001
 3.00  6000.  0.0  4.0   0.6831
 3.00  6000.  0.0  4.0   0.5346
 3.00  6000.  0.0  4.0   0.0002
 3.50  6000.  0.0  4.0   0.6814
 3.50  6000.  0.0  4.0   0.5427
 3.50  6000.  0.0  4.0   0.0003
 4.00  6000.  0.0  4.0   0.6794
 4.00  6000.  0.0  4.0   0.5519
 4.00  6000.  0.0  4.0   0.0004
 4.50  6000.  0.0  4.0   0.6775
 4.50  6000.  0.0  4.0   0.5614
 4.50  6000.  0.0  4.0   0.0005
 5.00  6000.  0.0  4.0   0.6777
 5.00  6000.  0.0  4.0   0.5641
 5.00  6000.  0.0  4.0   0.0005
 0.50  6250.  0.0  4.0   0.6419
 0.50  6250.  0.0  4.0   0.6713
 0.50  6250.  0.0  4.0   0.0002
 1.00  6250.  0.0  4.0   0.6405
 1.00  6250.  0.0  4.0   0.6465
 1.00  6250.  0.0  4.0   0.0005
 1.50  6250.  0.0  4.0   0.6436
 1.50  6250.  0.0  4.0   0.5922
 1.50  6250.  0.0  4.0   0.0009
 2.00  6250.  0.0  4.0   0.6828
 2.00  6250.  0.0  4.0   0.4905
 2.00  6250.  0.0  4.0   0.0002
 2.50  6250.  0.0  4.0   0.6811
 2.50  6250.  0.0  4.0   0.4978
 2.50  6250.  0.0  4.0   0.0002
 3.00  6250.  0.0  4.0   0.6784
 3.00  6250.  0.0  4.0   0.5060
 3.00  6250.  0.0  4.0   0.0002
 3.50  6250.  0.0  4.0   0.6765
 3.50  6250.  0.0  4.0   0.5135
 3.50  6250.  0.0  4.0   0.0003
 4.00  6250.  0.0  4.0   0.6733
 4.00  6250.  0.0  4.0   0.5233
 4.00  6250.  0.0  4.0   0.0004
 4.50  6250.  0.0  4.0   0.6710
 4.50  6250.  0.0  4.0   0.5317
 4.50  6250.  0.0  4.0   0.0005
 5.00  6250.  0.0  4.0   0.6711
 5.00  6250.  0.0  4.0   0.5331
 5.00  6250.  0.0  4.0   0.0005
 0.50  6500.  0.0  4.0   0.6388
 0.50  6500.  0.0  4.0   0.6629
 0.50  6500.  0.0  4.0   0.0002
 1.00  6500.  0.0  4.0   0.6401
 1.00  6500.  0.0  4.0   0.6476
 1.00  6500.  0.0  4.0   0.0002
 1.50  6500.  0.0  4.0   0.6387
 1.50  6500.  0.0  4.0   0.6195
 1.50  6500.  0.0  4.0   0.0003
 2.00  6500.  0.0  4.0   0.6382
 2.00  6500.  0.0  4.0   0.5701
 2.00  6500.  0.0  4.0   0.0009
 2.50  6500.  0.0  4.0   0.6798
 2.50  6500.  0.0  4.0   0.4717
 2.50  6500.  0.0  4.0   0.0002
 3.00  6500.  0.0  4.0   0.6772
 3.00  6500.  0.0  4.0   0.4807
 3.00  6500.  0.0  4.0   0.0003
 3.50  6500.  0.0  4.0   0.6725
 3.50  6500.  0.0  4.0   0.4904
 3.50  6500.  0.0  4.0   0.0004
 4.00  6500.  0.0  4.0   0.6686
 4.00  6500.  0.0  4.0   0.5005
 4.00  6500.  0.0  4.0   0.0005
 4.50  6500.  0.0  4.0   0.6652
