 2.50  2700.  0.0  2.0   0.96913014   0.96765760   0.98117899   0.96736463   0.94217512   0.72428163   0.82753893   0.63703006   0.58539390   0.49381946   0.14569880   0.13313794   0.12345502   0.12969808   0.13431294   0.00816502   0.00221555   0.00634687   0.00795120   0.01343277
 3.00  2700.  0.0  2.0   0.98954917   1.00011251   0.99878957   1.00626724   0.96973295   0.61652684   0.73503370   0.64773974   0.51904672   0.43455026   0.10738688   0.09948768   0.09192410   0.09867318   0.10203289   0.01195324   0.00418354   0.00474420   0.01814153   0.02765551
 3.50  2700.  0.0  2.0   1.00215295   1.02323537   0.99486259   1.05030643   1.02667719   0.57918949   0.70481121   0.71621955   0.49648987   0.40489722   0.08115108   0.07660894   0.07029915   0.07538132   0.07723344   0.01586668   0.00944201   0.00346271   0.03199091   0.04191040
 4.00  2700.  0.0  2.0   1.02303041   1.03641648   0.98297315   1.07986281   1.05606582   0.59061818   0.72253364   0.81282274   0.50528271   0.41152087   0.05829298   0.05555457   0.05104257   0.05428097   0.05735703   0.01393505   0.01353610   0.00107160   0.04094741   0.05452779
 4.50  2700.  0.0  2.0   1.02910701   1.02880204   0.96773737   1.08487749   1.07426591   0.66873426   0.78621421   0.91749239   0.53668687   0.43641490   0.04327521   0.04196866   0.03831772   0.04070507   0.04327521   0.01329799   0.01450298   0.00092174   0.04700001   0.05088969
 5.00  2700.  0.0  2.0   1.01583150   1.01268709   0.94280355   1.07178644   1.07910281   0.83019721   0.89385495   1.05932166   0.58551324   0.48009488   0.03073091   0.02922284   0.02984991   0.02984991   0.02984991   0.01671038   0.01025335   0.00293595   0.05762560   0.04237698
 5.50  2700.  0.0  2.0   0.98691226   0.98270628   0.91360697   1.04325220   1.04745583   0.99620678   1.01676378   1.16528003   0.63627810   0.54182873   0.02268943   0.02268943   0.02268943   0.02300658   0.02300658   0.00233277   0.00138703   0.01466098   0.05057304   0.05348485
 6.00  2700.  0.0  2.0   0.97297081   0.94613472   0.87621065   1.01912341   1.02610760   1.01562759   1.13228544   1.24573776   0.66741156   0.58059652   0.01634916   0.01769566   0.01769566   0.01769566   0.01769566   0.00902890   0.01017000   0.04718849   0.03781211   0.05702111
 0.00  2800.  0.0  2.0   0.83820791   0.93006923   1.00540907   0.92435419   0.94898183   1.23754043   1.21687403   0.77554064   1.00400045   0.80641870   0.41558629   0.34183211   0.30601196   0.32616443   0.34183211   0.00758712   0.02246664   0.02470343   0.03106855   0.04633763
 0.50  2800.  0.0  2.0   0.90386701   0.92243765   0.98470203   0.93771247   0.90781207   1.19131587   1.27725704   0.81723632   0.97743294   0.81427639   0.31728941   0.28243286   0.25215187   0.26364908   0.28243286   0.02480296   0.02018806   0.01391633   0.02566701   0.02031435
 1.00  2800.  0.0  2.0   0.95883718   0.94072199   1.01682033   0.90720688   0.92672741   0.91369113   1.16727703   0.74958545   0.94067524   0.74070492   0.25555808   0.22491217   0.21305800   0.22229717   0.22491217   0.00577466   0.01223469   0.02669435   0.01107367   0.02039158
 1.50  2800.  0.0  2.0   0.97813868   0.95441771   0.96081813   0.93502385   0.92098325   0.89441774   1.30860006   0.83915304   0.98312182   0.79163877   0.19283784   0.17282011   0.16075353   0.16814861   0.17799733   0.00489115   0.01508737   0.00377623   0.00835668   0.00339683
